,Quarter,Tm,Detail,ATL,CIN
0,1.0,Falcons,Andre Rison 21 yard pass from Bobby Hebert (Norm Johnson kick),7,0
1,1.0,Bengals,Craig Thompson 3 yard pass from David Klingler (Doug Pelfrey kick),7,7
2,2.0,Bengals,Carl Pickens 24 yard pass from David Klingler (Doug Pelfrey kick),7,14
3,3.0,Falcons,Norm Johnson 49 yard field goal,10,14
4,4.0,Falcons,Erric Pegram 1 yard rush (Norm Johnson kick),17,14
5,4.0,Bengals,Carl Pickens 6 yard pass from David Klingler (Doug Pelfrey kick),17,21
