,Quarter,Tm,Detail,CRD,PHI
0,1.0,Eagles,Pete Pihos 9 yard pass from Tommy Thompson (Cliff Patton kick),0,7
1,2.0,Eagles,Cliff Patton 17 yard field goal,0,10
2,3.0,Cardinals,Elmer Angsman 15 yard pass from Jim Hardy (Pat Harder kick),7,10
3,3.0,Cardinals,Don Paul 82 yard punt return (Pat Harder kick),14,10
