,Quarter,Tm,Detail,NYG,PIT
0,1.0,Steelers,Joe Geri 31 yard field goal,0,3
1,1.0,Giants,Ray Poole 11 yard field goal,3,3
2,2.0,Giants,Joe Scott 56 yard pass from Travis Tidwell (Ray Poole kick),10,3
3,2.0,Steelers,Joe Geri 1 yard rush (Joe Geri kick),10,10
4,3.0,Steelers,Joe Geri 26 yard field goal,10,13
5,3.0,Giants,Ray Poole 21 yard field goal,13,13
