,Quarter,Time,Tm,Detail,MIN,DET
0,1.0,11:05,Lions,Germane Crowell 9 yard pass from Charlie Batch (Jason Hanson kick),0,7
1,1.0,8:46,Vikings,Randy Moss 61 yard pass from Daunte Culpepper (Gary Anderson kick),7,7
2,2.0,4:08,Lions,Jason Hanson 21 yard field goal,7,10
3,2.0,0:03,Vikings,Gary Anderson 20 yard field goal,10,10
4,3.0,0:14,Vikings,Randy Moss 17 yard pass from Daunte Culpepper (Gary Anderson kick),17,10
5,4.0,12:09,Lions,Charlie Batch 5 yard rush (Jason Hanson kick),17,17
6,4.0,8:48,Vikings,Randy Moss 50 yard pass from Daunte Culpepper (Gary Anderson kick),24,17
7,4.0,6:23,Vikings,Robert Smith 65 yard rush (Gary Anderson kick),31,17
8,4.0,0:03,Lions,Mario Bates 1 yard rush (Jason Hanson kick),31,24
