,Quarter,Tm,Detail,GNB,PRT
0,1,Spartans,Glenn Presnell 3 yard rush (Dutch Clark kick),0,7
1,2,Spartans,Dutch Clark 8 yard rush,0,13
2,4,Spartans,Dutch Clark 27 yard pass from Glenn Presnell,0,19
