,Quarter,Tm,Detail,STL,NYG
0,1.0,Giants,Mark Bavaro 3 yard pass from Phil Simms (Raul Allegre kick),0,7
1,1.0,Giants,Lionel Manuel 16 yard pass from Phil Simms (Raul Allegre kick),0,14
2,2.0,Giants,Raul Allegre 28 yard field goal,0,17
3,3.0,Giants,Raul Allegre 35 yard field goal,0,20
4,4.0,Giants,Lionel Manuel 28 yard pass from Phil Simms (Raul Allegre kick),0,27
5,4.0,Giants,Raul Allegre 32 yard field goal,0,30
6,4.0,Cardinals,Jay Novacek 18 yard pass from Neil Lomax (Jim Gallery kick),7,30
