,Quarter,Tm,Detail,KAN,DEN
0,1.0,Chiefs,Nick Lowery 39 yard field goal,3,0
1,1.0,Broncos,Bobby Humphrey 37 yard rush (David Treadwell kick),3,7
2,2.0,Chiefs,Nick Lowery 29 yard field goal,6,7
3,2.0,Broncos,Bobby Humphrey 6 yard rush (David Treadwell kick),6,14
4,2.0,Chiefs,Nick Lowery 31 yard field goal,9,14
5,3.0,Broncos,John Elway 2 yard rush (David Treadwell kick),9,21
6,4.0,Chiefs,Stephone Paige 16 yard pass from Steve DeBerg (Nick Lowery kick),16,21
7,4.0,Chiefs,Stephone Paige 83 yard pass from Steve DeBerg (Nick Lowery kick),23,21
8,4.0,Broncos,David Treadwell 22 yard field goal,23,24
