,Quarter,Time,Tm,Detail,JAX,BAL
0,1.0,9:25,Ravens,Matt Stover 32 yard field goal,0,3
1,1.0,0:48,Jaguars,Alvin Pearman 23 yard pass from David Garrard (Josh Scobee kick),7,3
2,2.0,10:58,Ravens,Le'Ron McClain 5 yard rush (Matt Stover kick),7,10
3,2.0,4:52,Ravens,Willis McGahee 13 yard rush (Matt Stover kick),7,17
4,2.0,0:44,Ravens,Le'Ron McClain 1 yard rush (Matt Stover kick),7,24
5,3.0,3:26,Ravens,Matt Stover 41 yard field goal,7,27
