,Quarter,Tm,Detail,RAM,PHI
0,1.0,Rams,Frank Corral 29 yard field goal,3,0
1,2.0,Rams,Frank Corral 47 yard field goal,6,0
2,4.0,Rams,Nolan Cromwell special teams fumble recovery in end zone (Frank Corral kick),13,0
3,4.0,Eagles,Ken Payne 24 yard pass from Ron Jaworski (Nick Mike-Mayer kick),13,7
4,4.0,Eagles,Wally Henry 57 yard punt return (Nick Mike-Mayer kick),13,14
5,4.0,Rams,Frank Corral 46 yard field goal,16,14
