,Quarter,Time,Tm,Detail,CHI,TEN
0,1.0,12:05,Bears,Robert Chancey 1 yard rush (Jeff Jaeger kick),7,0
1,2.0,12:05,Oilers,Al Del Greco 29 yard field goal,7,3
2,2.0,2:00,Bears,Jeff Jaeger 39 yard field goal,10,3
3,2.0,0:32,Oilers,Derrick Mason 13 yard pass from Steve McNair (Al Del Greco kick),10,10
4,3.0,0:32,Bears,Ty Hallock 6 yard rush (Jeff Jaeger kick),17,10
5,3.0,0:32,Bears,Jeff Jaeger 26 yard field goal,20,10
6,4.0,0:32,Oilers,Al Del Greco 19 yard field goal,20,13
7,4.0,0:32,Oilers,Rodney Thomas 7 yard rush (Al Del Greco kick),20,20
8,4.0,1:07,Bears,Jeff Jaeger 33 yard field goal,23,20
