,Quarter,Time,Tm,Detail,CHI,DAL
0,1.0,7:31,Bears,Robbie Gould 38 yard field goal,3,0
1,1.0,2:44,Cowboys,Dez Bryant 62 yard punt return (David Buehler kick),3,7
2,1.0,1:09,Bears,Greg Olsen 39 yard pass from Jay Cutler (Robbie Gould kick),10,7
3,2.0,8:16,Cowboys,Chris Gronkowski 1 yard pass from Tony Romo (David Buehler kick),10,14
4,2.0,3:38,Bears,Devin Hester 9 yard pass from Jay Cutler (Robbie Gould kick),17,14
5,2.0,0:20,Bears,Robbie Gould 40 yard field goal,20,14
6,3.0,10:36,Cowboys,David Buehler 28 yard field goal,20,17
7,4.0,5:16,Bears,Matt Forte 3 yard pass from Jay Cutler (Robbie Gould kick),27,17
8,4.0,1:17,Cowboys,David Buehler 48 yard field goal,27,20
