,Quarter,Time,Tm,Detail,PIT,BAL
0,1.0,1:59,Ravens,Anquan Boldin 14 yard pass from Joe Flacco (Billy Cundiff kick),0,7
1,3.0,10:54,Steelers,Shaun Suisham 45 yard field goal,3,7
2,3.0,7:13,Ravens,Billy Cundiff 24 yard field goal,3,10
3,4.0,12:46,Steelers,Shaun Suisham 19 yard field goal,6,10
4,4.0,2:51,Steelers,Isaac Redman 9 yard pass from Ben Roethlisberger (Shaun Suisham kick),13,10
