,Quarter,Time,Tm,Detail,OAK,KAN
0,1.0,11:34,Raiders,Sebastian Janikowski 44 yard field goal,3,0
1,2.0,14:51,Chiefs,Tyreek Hill 36 yard pass from Alex Smith (Cairo Santos kick),3,7
2,2.0,8:34,Chiefs,Charcandrick West 3 yard rush (Cairo Santos kick),3,14
3,2.0,6:25,Chiefs,Tyreek Hill 78 yard punt return (Cairo Santos kick),3,21
4,2.0,0:14,Raiders,Latavius Murray 1 yard rush (Sebastian Janikowski kick),10,21
5,3.0,13:09,Raiders,Sebastian Janikowski 33 yard field goal,13,21
