,Quarter,Time,Tm,Detail,IND,BUF
0,1.0,,Bills,Kenneth Davis 13 yard rush (Steve Christie kick),0,7
1,1.0,,Colts,Dean Biasucci 43 yard field goal,3,7
2,2.0,,Colts,Floyd Turner 6 yard pass from Jim Harbaugh (Dean Biasucci kick),10,7
3,2.0,,Bills,Steve Christie 23 yard field goal,10,10
4,3.0,,Colts,Kerry Cash 10 yard pass from Jim Harbaugh (Dean Biasucci kick),17,10
5,4.0,,Colts,Floyd Turner 19 yard pass from Don Majkowski (Dean Biasucci kick),24,10
6,4.0,,Colts,Dean Biasucci 33 yard field goal,27,10
7,4.0,,Bills,Thurman Thomas 2 yard pass from Jim Kelly (Steve Christie kick),27,17
