,Quarter,Tm,Detail,SFO,NYG
0,1.0,49ers,Gene Babb 8 yard rush (Gordie Soltau kick),7,0
1,2.0,Giants,Alex Webster 1 yard rush (Ben Agajanian kick),7,7
2,2.0,49ers,Joe Perry 3 yard rush (Gordie Soltau kick),14,7
3,2.0,49ers,Gordie Soltau 42 yard field goal,17,7
4,2.0,Giants,Ben Agajanian 35 yard field goal,17,10
5,3.0,49ers,Billy Wilson 11 yard pass from Y.A. Tittle (Gordie Soltau kick),24,10
6,3.0,Giants,Frank Gifford 6 yard pass from Charlie Conerly (Ben Agajanian kick),24,17
7,4.0,49ers,Gordie Soltau 37 yard field goal,27,17
