,Quarter,Time,Tm,Detail,TAM,ATL
0,1.0,7:05,Falcons,Jay Feely 34 yard field goal,0,3
1,2.0,8:03,Buccaneers,Martin Gramatica 23 yard field goal,3,3
2,3.0,6:18,Falcons,Jay Feely 32 yard field goal,3,6
3,3.0,4:32,Buccaneers,Keyshawn Johnson 76 yard pass from Brad Johnson (Martin Gramatica kick),10,6
4,4.0,6:31,Buccaneers,Martin Gramatica 22 yard field goal,13,6
5,4.0,6:14,Buccaneers,Derrick Brooks 15 yard interception return (Martin Gramatica kick),20,6
