,Quarter,Tm,Detail,TAM,CHI
0,1.0,Bears,Walter Payton 1 yard rush (Kevin Butler kick),0,7
1,2.0,Buccaneers,Donald Igwebuike 43 yard field goal,3,7
2,2.0,Bears,Neal Anderson 27 yard rush (Kevin Butler kick),3,14
3,4.0,Bears,Walter Payton 9 yard pass from Mike Tomczak (run failed),3,20
