,Quarter,Time,Tm,Detail,SFO,HOU
0,1.0,,49ers,Jeff Wilkins 27 yard field goal,3,0
1,2.0,,Oilers,Al Del Greco 38 yard field goal,3,3
2,2.0,,Oilers,Al Del Greco 56 yard field goal,3,6
3,3.0,,Oilers,Al Del Greco 39 yard field goal,3,9
4,4.0,,49ers,Terrell Owens 20 yard pass from Jeff Brohm (Jeff Wilkins kick),10,9
