,Quarter,Time,Tm,Detail,IND,TAM
0,1.0,,Buccaneers,Charles Wilson 50 yard pass from Craig Erickson (Michael Husted kick),0,7
1,2.0,,Colts,Dean Biasucci 26 yard field goal,3,7
2,2.0,,Buccaneers,Michael Husted 47 yard field goal,3,10
3,3.0,,Buccaneers,Jackie Harris 48 yard pass from Craig Erickson (Michael Husted kick),3,17
4,3.0,,Colts,Roosevelt Potts 8 yard rush (Dean Biasucci kick),10,17
5,4.0,,Buccaneers,Courtney Hawkins 3 yard pass from Craig Erickson (Michael Husted kick),10,24
