,Quarter,Time,Tm,Detail,MIA,ATL
0,2.0,8:37,Falcons,Ovie Mughelli 1 yard pass from Matt Ryan (Jason Elam kick),0,7
1,2.0,0:32,Falcons,Jason Elam 36 yard field goal,0,10
2,3.0,1:17,Falcons,Tony Gonzalez 20 yard pass from Matt Ryan (Jason Elam kick failed),0,16
3,4.0,7:35,Falcons,Jason Elam 50 yard field goal,0,19
4,4.0,3:22,Dolphins,Ricky Williams 9 yard pass from Chad Pennington (Dan Carpenter kick),7,19
