,Quarter,Time,Tm,Detail,SFO,SEA
0,1,3:40,Seahawks,Stephen Hauschka 38 yard field goal,0,3
1,2,13:22,49ers,Frank Gore 10 yard rush (Phil Dawson kick),7,3
2,3,2:19,Seahawks,Marshawn Lynch 4 yard rush (Stephen Hauschka kick),7,10
3,4,13:20,Seahawks,Paul Richardson 10 yard pass from Russell Wilson (Stephen Hauschka kick),7,17
