,Quarter,Tm,Detail,CLE,CIN
0,2.0,Bengals,Pete Johnson 3 yard rush (Jim Breech kick),0,7
1,2.0,Bengals,Ken Anderson 1 yard rush (Jim Breech kick),0,14
2,2.0,Browns,Matt Bahr 29 yard field goal,3,14
3,3.0,Browns,Clinton Burrell 14 yard interception return (Matt Bahr kick),10,14
4,3.0,Bengals,Jim Breech 44 yard field goal,10,17
5,4.0,Bengals,Jim Breech 21 yard field goal,10,20
6,4.0,Bengals,Jim Breech 36 yard field goal,10,23
