,Quarter,Tm,Detail,BAL,DET
0,1.0,Lions,Tom Watkins 1 yard rush (Wayne Walker kick),0,7
1,4.0,Colts,Raymond Berry 5 yard pass from Johnny Unitas (Wendell Harris kick),7,7
2,4.0,Colts,Jimmy Orr 50 yard pass from Johnny Unitas (Wendell Harris kick),14,7
3,4.0,Lions,Earl Morrall 1 yard rush (Wayne Walker kick),14,14
4,4.0,Lions,Nick Pietrosante 12 yard pass from Earl Morrall (Wayne Walker kick),14,21
