,Quarter,Tm,Detail,GNB,DET
0,1.0,Packers,Chester Marcol 41 yard field goal,3,0
1,1.0,Packers,Chester Marcol 23 yard field goal,6,0
2,3.0,Packers,Barty Smith 1 yard rush (Chester Marcol kick),13,0
3,3.0,Lions,Dexter Bussey 5 yard rush (Benny Ricardo kick),13,7
