,Quarter,Tm,Detail,CIN,BAL
0,1.0,Colts,Roger Carr 68 yard pass from Bert Jones (Toni Linhart kick),0,7
1,1.0,Bengals,Tommy Casanova 31 yard interception return (Chris Bahr kick),7,7
2,2.0,Bengals,Bob Trumpy 17 yard pass from Ken Anderson (Chris Bahr kick),14,7
3,2.0,Bengals,Chris Bahr 26 yard field goal,17,7
4,2.0,Colts,Roger Carr 22 yard pass from Bert Jones (Toni Linhart kick),17,14
5,2.0,Bengals,Chris Bahr 51 yard field goal,20,14
6,3.0,Colts,Roger Carr 65 yard pass from Bert Jones (Toni Linhart kick),20,21
7,3.0,Bengals,Lenvil Elliott 9 yard pass from John Reaves (Chris Bahr kick),27,21
8,4.0,Colts,Roosevelt Leaks 2 yard rush (Toni Linhart kick),27,28
