,Quarter,Tm,Detail,STL,ATL
0,1.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),0,7
1,1.0,Falcons,Charlie Brown 17 yard pass from David Archer (Mick Luckhurst kick),0,14
2,2.0,Cardinals,Stump Mitchell 1 yard rush (John Lee kick),7,14
3,2.0,Falcons,Mick Luckhurst 42 yard field goal,7,17
4,2.0,Cardinals,Roy Green 45 yard pass from Neil Lomax,13,17
5,4.0,Falcons,Anthony Allen 22 yard pass from David Archer (Mick Luckhurst kick),13,24
6,4.0,Falcons,"Safety, Gann tackled Lomax in end zone",13,26
7,4.0,Falcons,William Andrews 1 yard rush (Mick Luckhurst kick),13,33
