,Quarter,Time,Tm,Detail,NYJ,BAL
0,1.0,11:58,Ravens,Jameel McClain defensive fumble recovery in end zone (Billy Cundiff kick),0,7
1,1.0,11:43,Jets,Joe McKnight 107 yard kickoff return (Nick Folk kick),7,7
2,1.0,6:27,Ravens,Billy Cundiff 38 yard field goal,7,10
3,1.0,1:14,Ravens,Ray Rice 3 yard rush (Billy Cundiff kick),7,17
4,2.0,13:19,Ravens,Billy Cundiff 38 yard field goal,7,20
5,2.0,8:11,Ravens,Jarret Johnson 26 yard defensive fumble return (Billy Cundiff kick),7,27
6,2.0,6:17,Jets,David Harris 35 yard interception return (Nick Folk kick),14,27
7,2.0,2:14,Jets,Nick Folk 40 yard field goal,17,27
8,3.0,8:49,Ravens,Lardarius Webb 73 yard interception return (Billy Cundiff kick),17,34
