,Quarter,Tm,Detail,POT,GNB
0,1.0,Packers,Eddie Kotal 42 yard pass from Red Dunn,0,6
1,2.0,Packers,Eddie Kotal 5 yard rush,0,12
2,2.0,Packers,Larry Marks 9 yard pass from Red Dunn (Harry O'Boyle kick),0,19
3,3.0,Maroons,Tony Latone 2 yard rush (Pete Henry kick),7,19
4,4.0,Maroons,Tony Latone 3 yard rush (Pete Henry kick),14,19
5,4.0,Packers,Verne Lewellen 30 yard pass from Red Dunn (Harry O'Boyle kick),14,26
