,Quarter,Tm,Detail,MIN,KAN
0,1.0,Chiefs,Jan Stenerud 37 yard field goal,0,3
1,2.0,Chiefs,Jan Stenerud 32 yard field goal,0,6
2,2.0,Vikings,Sam McCullum 34 yard pass from Fran Tarkenton (Fred Cox kick),7,6
3,2.0,Vikings,Sam McCullum 10 yard pass from Fran Tarkenton (Fred Cox kick),14,6
4,2.0,Chiefs,Emmitt Thomas 73 yard interception return,14,12
5,3.0,Vikings,Ed Marinaro 7 yard pass from Bob Berry (Fred Cox kick),21,12
6,4.0,Chiefs,Jan Stenerud 29 yard field goal,21,15
7,4.0,Vikings,Oscar Reed 3 yard pass from Bob Berry (Fred Cox kick),28,15
8,4.0,Vikings,Brent McClanahan 6 yard rush (Fred Cox kick),35,15
