,Quarter,Time,Tm,Detail,JAX,CIN
0,1.0,,Jaguars,Jimmy Smith 21 yard pass from Mark Brunell (Mike Hollis kick),7,0
1,2.0,,Jaguars,Keenan McCardell 8 yard pass from Mark Brunell (Mike Hollis kick),14,0
2,2.0,,Jaguars,Mike Hollis 23 yard field goal,17,0
3,2.0,,Bengals,Brian Milne 1 yard rush (Doug Pelfrey kick),17,7
4,2.0,0:04,Bengals,Doug Pelfrey 30 yard field goal,17,10
5,3.0,0:04,Jaguars,Mike Hollis 47 yard field goal,20,10
6,3.0,0:04,Bengals,Tony McGee 7 yard pass from Neil O'Donnell (Doug Pelfrey kick),20,17
7,3.0,0:04,Jaguars,Keenan McCardell 3 yard pass from Mark Brunell (Mike Hollis kick),27,17
8,4.0,0:04,Jaguars,Damon Jones 1 yard pass from Mark Brunell (Mike Hollis kick),34,17
