,Quarter,Time,Tm,Detail,PIT,NYG
0,1.0,10:37,Giants,Graham Gano 21 yard field goal,0,3
1,1.0,0:54,Steelers,Chris Boswell 41 yard field goal,3,3
2,2.0,13:54,Giants,Darius Slayton 41 yard pass from Daniel Jones (Graham Gano kick),3,10
3,2.0,9:07,Steelers,JuJu Smith-Schuster 10 yard pass from Ben Roethlisberger (Chris Boswell kick failed),9,10
4,2.0,0:14,Steelers,James Washington 13 yard pass from Ben Roethlisberger (Chris Boswell kick),16,10
5,4.0,14:24,Steelers,Chris Boswell 36 yard field goal,19,10
6,4.0,5:28,Steelers,JuJu Smith-Schuster 8 yard pass from Ben Roethlisberger (Chris Boswell kick),26,10
7,4.0,1:56,Giants,Darius Slayton 7 yard pass from Daniel Jones (pass failed),26,16
