,Quarter,Tm,Detail,DEN,KAN
0,1.0,Broncos,David Treadwell 18 yard field goal,3,0
1,2.0,Chiefs,Nick Lowery 39 yard field goal,3,3
2,2.0,Broncos,Greg Kragen 17 yard defensive fumble return (David Treadwell kick),10,3
3,2.0,Chiefs,Nick Lowery 42 yard field goal,10,6
4,3.0,Broncos,David Treadwell 27 yard field goal,13,6
5,4.0,Chiefs,Emile Harry 5 yard pass from Steve Pelluer (Nick Lowery kick),13,13
6,4.0,Broncos,David Treadwell 26 yard field goal,16,13
