,Quarter,Tm,Detail,DET,TAM
0,1.0,Lions,Mark Nichols 77 yard pass from Gary Danielson (Eddie Murray kick),7,0
1,2.0,Lions,Gary Danielson 4 yard rush (Eddie Murray kick),14,0
2,2.0,Buccaneers,Gerald Carter 5 yard pass from Steve DeBerg (Obed Ariri kick),14,7
3,3.0,Buccaneers,James Wilder 2 yard rush (Obed Ariri kick),14,14
4,3.0,Lions,Eddie Murray 28 yard field goal,17,14
5,4.0,Buccaneers,Jimmie Giles 5 yard pass from Steve DeBerg (Obed Ariri kick),17,21
