,Quarter,Tm,Detail,PIT,BKN
0,1,Pirates,Art Strutt 3 yard rush (Armand Niccolai kick),7,0
1,2,Pirates,Armand Niccolai 26 yard field goal,10,0
2,4,Dodgers,Red Franklin 19 yard rush,10,6
