,Quarter,Tm,Detail,CHI,GNB
0,2.0,Bears,Bill Osmanski 16 yard rush (Jack Manders kick),7,0
1,2.0,Bears,Bernie Masterson 7 yard rush,13,0
2,3.0,Packers,Cecil Isbell 11 yard rush (Tiny Engebretsen kick),13,7
3,3.0,Packers,Clarke Hinkle 1 yard rush (Tiny Engebretsen kick),13,14
4,3.0,Packers,Tom Greenfield fumble recovery in end zone (Tiny Engebretsen kick),13,21
5,4.0,Bears,Jack Manders 38 yard field goal,16,21
