,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Bills,Greg Bell 2 yard pass from Jim Kelly (Scott Norwood kick),0,7
1,1.0,Jets,Tony Paige 2 yard rush (Pat Leahy kick),7,7
2,2.0,Jets,Al Toon 46 yard pass from Ken O'Brien (Pat Leahy kick),14,7
3,2.0,Bills,Scott Norwood 19 yard field goal,14,10
4,4.0,Bills,Andre Reed 55 yard pass from Jim Kelly (Scott Norwood kick),14,17
5,4.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),21,17
6,4.0,Jets,Wesley Walker 71 yard pass from Ken O'Brien (Pat Leahy kick),28,17
7,4.0,Bills,Pete Metzelaars 4 yard pass from Jim Kelly (Scott Norwood kick),28,24
