,Quarter,Tm,Detail,PIT,CIN
0,1.0,Steelers,Charles Davenport 34 yard defensive fumble return (Gary Anderson kick),7,0
1,2.0,Bengals,Jim Breech 33 yard field goal,7,3
2,2.0,Steelers,Barry Foster 2 yard rush (Gary Anderson kick),14,3
3,2.0,Bengals,Jim Breech 42 yard field goal,14,6
4,3.0,Steelers,Barry Foster 1 yard rush (Gary Anderson kick),21,6
5,4.0,Bengals,Jim Breech 38 yard field goal,21,9
