,Quarter,Time,Tm,Detail,NWE,CAR
0,1.0,2:44,Panthers,Brandon LaFell 9 yard pass from Cam Newton (Graham Gano kick),0,7
1,2.0,5:02,Panthers,Graham Gano 43 yard field goal,0,10
2,2.0,1:09,Patriots,Stephen Gostkowski 42 yard field goal,3,10
3,3.0,10:31,Patriots,Rob Gronkowski 9 yard pass from Tom Brady (Stephen Gostkowski kick),10,10
4,3.0,2:10,Panthers,Greg Olsen 15 yard pass from Cam Newton (Graham Gano kick),10,17
5,4.0,12:33,Patriots,Stevan Ridley 1 yard rush (Stephen Gostkowski kick),17,17
6,4.0,6:32,Patriots,Stephen Gostkowski 26 yard field goal,20,17
7,4.0,0:59,Panthers,Ted Ginn Jr. 25 yard pass from Cam Newton (Graham Gano kick),20,24
