,Quarter,Tm,Detail,RAM,BKN
0,1.0,Rams,Jim Benton 18 yard pass from Parker Hall,6,0
1,1.0,Dodgers,Ace Parker 22 yard rush (Bruiser Kinard kick),6,7
2,1.0,Dodgers,Perry Schwartz 66 yard pass from Ace Parker (Ralph Kercheval kick),6,14
3,2.0,Dodgers,Bill Reissig 14 yard field goal,6,17
4,4.0,Rams,Johnny Drake 3 yard rush,12,17
5,4.0,Dodgers,Herman Hodges 16 yard interception return,12,23
