,Quarter,Tm,Detail,BAL,MIA
0,1,Dolphins,Nat Moore 18 yard pass from Bob Griese (Uwe von Schamann kick),0,7
1,2,Dolphins,Nat Moore 14 yard pass from Bob Griese,0,13
2,3,Dolphins,Uwe von Schamann 32 yard field goal,0,16
3,4,Dolphins,Uwe von Schamann 22 yard field goal,0,19
