,Quarter,Time,Tm,Detail,NYG,DAL
0,1.0,11:19,Giants,Morten Andersen 35 yard field goal,3,0
1,1.0,7:45,Cowboys,Jon Hilbert 38 yard field goal,3,3
2,1.0,2:16,Giants,Morten Andersen 41 yard field goal,6,3
3,2.0,10:31,Giants,Marcellus Rivers 2 yard pass from Kerry Collins (Morten Andersen kick),13,3
4,2.0,0:48,Cowboys,Jon Hilbert 41 yard field goal,13,6
5,3.0,6:28,Cowboys,Emmitt Smith 1 yard rush (Jon Hilbert kick),13,13
6,4.0,12:50,Cowboys,Jackie Harris 3 yard pass from Quincy Carter (Jon Hilbert kick),13,20
