,Quarter,Time,Tm,Detail,ATL,SFO
0,1,1:24,Falcons,Jamal Anderson 1 yard rush (Jay Feely kick),7,0
1,2,11:25,49ers,Jose Cortez 39 yard field goal,7,3
2,2,4:05,Falcons,Jay Feely 28 yard field goal,10,3
3,3,4:49,Falcons,Jay Feely 24 yard field goal,13,3
4,4,11:29,49ers,J.J. Stokes 16 yard pass from Jeff Garcia (Jose Cortez kick),13,10
5,4,0:08,49ers,Jose Cortez 20 yard field goal,13,13
6,OT,10:56,49ers,Jose Cortez 24 yard field goal,13,16
