,Quarter,Tm,Detail,MIL,CRD
0,2.0,Cardinals,Paddy Driscoll 52 yard field goal,0,3
1,3.0,Badgers,Hal Erickson 48 yard pass from Jimmy Conzelman (Red Dunn kick),7,3
2,3.0,Cardinals,Carl Hanke fumble recovery in end zone (Paddy Driscoll kick),7,10
3,4.0,Cardinals,Paddy Driscoll 3 yard rush (Paddy Driscoll kick),7,17
