,Quarter,Tm,Detail,WAS,PHI
0,2.0,Eagles/Steelers,Larry Cabrelli 24 yard interception return (Roy Zimmerman kick),0,7
1,2.0,Redskins,Wilbur Moore 25 yard pass from Sammy Baugh (Bob Masterson kick),7,7
2,4.0,Redskins,Lou Rymkus 4 yard blocked punt return (Bob Masterson kick),14,7
3,4.0,Eagles/Steelers,Ernie Steele 35 yard pass from Roy Zimmerman (Roy Zimmerman kick),14,14
