,Quarter,Tm,Detail,ATL,SFO
0,1.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),0,7
1,1.0,49ers,Ricky Watters 8 yard rush (Mike Cofer kick),0,14
2,1.0,Falcons,Michael Haynes 44 yard pass from Chris Miller (Norm Johnson kick),7,14
3,1.0,49ers,Jerry Rice 80 yard pass from Steve Young (Mike Cofer kick),7,21
4,2.0,49ers,Ricky Watters 4 yard rush (Mike Cofer kick),7,28
5,2.0,49ers,Ricky Watters 1 yard rush (Mike Cofer kick),7,35
6,2.0,Falcons,Norm Johnson 51 yard field goal,10,35
7,2.0,49ers,Jerry Rice 40 yard pass from Steve Young (Mike Cofer kick),10,42
8,3.0,49ers,Jerry Rice 26 yard rush (Mike Cofer kick),10,49
9,3.0,49ers,Brent Jones 11 yard pass from Steve Young (Mike Cofer kick),10,56
10,4.0,Falcons,Jason Phillips 6 yard pass from Wade Wilson (Norm Johnson kick),17,56
