,Quarter,Tm,Detail,ATL,WAS
0,1.0,Falcons,Jim Mitchell 36 yard pass from Bob Berry (Bill Bell kick),7,0
1,2.0,Falcons,Bill Bell 33 yard field goal,10,0
2,2.0,Redskins,Larry Brown 1 yard rush (Curt Knight kick),10,7
3,3.0,Redskins,Larry Brown 18 yard pass from Billy Kilmer (Curt Knight kick),10,14
4,3.0,Redskins,Jerry Smith 12 yard pass from Billy Kilmer (Curt Knight kick),10,21
5,4.0,Falcons,Bill Bell 17 yard field goal,13,21
6,4.0,Redskins,Curt Knight 37 yard field goal,13,24
