,Quarter,Tm,Detail,PHI,PHO
0,2.0,Cardinals,"Safety, Wilson tackled Toney in end zone",0,2
1,2.0,Cardinals,Al Del Greco 41 yard field goal,0,5
2,3.0,Eagles,Cris Carter 2 yard pass from Randall Cunningham (Luis Zendejas kick),7,5
3,3.0,Eagles,Cris Carter 40 yard pass from Randall Cunningham (Luis Zendejas kick),14,5
4,4.0,Eagles,Luis Zendejas 42 yard field goal,17,5
