,Quarter,Time,Tm,Detail,WAS,SEA
0,1.0,7:19,Seahawks,Olindo Mare 45 yard field goal,0,3
1,2.0,4:32,Redskins,Ladell Betts 1 yard rush (Shaun Suisham kick),7,3
2,2.0,0:29,Seahawks,Maurice Morris 4 yard pass from Matt Hasselbeck (Olindo Mare kick),7,10
3,3.0,7:21,Redskins,Shaun Suisham 26 yard field goal,10,10
4,3.0,3:25,Redskins,Antwaan Randle El 8 yard pass from Jason Campbell (Shaun Suisham kick),17,10
5,4.0,13:24,Seahawks,John Carlson 10 yard pass from Matt Hasselbeck (Olindo Mare kick),17,17
6,4.0,9:19,Redskins,Shaun Suisham 22 yard field goal,20,17
