,Quarter,Time,Tm,Detail,IND,WAS
0,1.0,9:51,Redskins,James Tuthill 40 yard field goal,0,3
1,1.0,3:41,Redskins,Darnerien McCants 9 yard pass from Shane Matthews (James Tuthill kick),0,10
2,2.0,11:00,Redskins,Chris Doering 33 yard pass from Shane Matthews (James Tuthill kick),0,17
3,2.0,6:10,Redskins,James Tuthill 23 yard field goal,0,20
4,2.0,1:13,Colts,Peyton Manning 1 yard rush (Mike Vanderjagt kick),7,20
5,2.0,0:00,Redskins,James Tuthill 41 yard field goal,7,23
6,4.0,14:56,Colts,Edgerrin James 2 yard pass from Peyton Manning (Edgerrin James run),15,23
7,4.0,6:46,Colts,Ricky Williams 20 yard pass from Peyton Manning (pass failed),21,23
8,4.0,0:18,Redskins,James Tuthill 22 yard field goal,21,26
