,Quarter,Tm,Detail,MIN,RAM
0,1.0,Rams,Jim Bertelsen 1 yard rush (David Ray kick),0,7
1,1.0,Vikings,Fred Cox 37 yard field goal,3,7
2,2.0,Rams,David Ray 33 yard field goal,3,10
3,2.0,Rams,Roman Gabriel 1 yard rush (David Ray kick),3,17
4,2.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),10,17
5,2.0,Rams,David Ray 34 yard field goal,10,20
6,3.0,Vikings,Paul Krause 30 yard defensive fumble return (Fred Cox kick),17,20
7,3.0,Vikings,Bill Brown 76 yard pass from Fran Tarkenton (Fred Cox kick),24,20
8,3.0,Rams,Jim Bertelsen 1 yard rush (David Ray kick),24,27
9,4.0,Vikings,John Henderson 70 yard pass from Fran Tarkenton (Fred Cox kick),31,27
10,4.0,Vikings,Bill Brown 5 yard pass from Fran Tarkenton (Fred Cox kick),38,27
11,4.0,Rams,Willie Ellison 7 yard rush (David Ray kick),38,34
12,4.0,Vikings,John Gilliam 66 yard pass from Fran Tarkenton (Fred Cox kick),45,34
13,4.0,Rams,Joe Sweet 17 yard pass from Roman Gabriel (David Ray kick),45,41
