,Quarter,Tm,Detail,HOU,BUF
0,1.0,Bills,Scott Norwood 45 yard field goal,0,3
1,1.0,Oilers,Tony Zendejas 52 yard field goal,3,3
2,2.0,Oilers,Drew Hill 2 yard pass from Warren Moon (Tony Zendejas kick),10,3
3,2.0,Bills,Scott Norwood 38 yard field goal,10,6
4,2.0,Oilers,Mike Rozier 8 yard rush (Tony Zendejas kick),17,6
5,2.0,Bills,Robb Riddick 11 yard pass from Jim Kelly (Scott Norwood kick),17,13
6,3.0,Oilers,Tony Zendejas 27 yard field goal,20,13
7,4.0,Bills,Andre Reed 8 yard pass from Jim Kelly (Scott Norwood kick),20,20
8,4.0,Oilers,Ernest Givins 12 yard pass from Warren Moon (Tony Zendejas kick),27,20
9,4.0,Oilers,Tony Zendejas 30 yard field goal,30,20
10,4.0,Bills,Robb Riddick 2 yard rush (Scott Norwood kick),30,27
11,4.0,Bills,Ronnie Harmon 2 yard pass from Jim Kelly (Scott Norwood kick),30,34
