,Quarter,Time,Tm,Detail,DEN,CHI
0,1.0,12:14,Broncos,Demaryius Thomas 48 yard pass from Brock Osweiler (Brandon McManus kick),7,0
1,2.0,10:32,Bears,Robbie Gould 46 yard field goal,7,3
2,2.0,6:13,Bears,Robbie Gould 37 yard field goal,7,6
3,2.0,0:00,Broncos,Brandon McManus 24 yard field goal,10,6
4,3.0,0:49,Bears,Robbie Gould 37 yard field goal,10,9
5,4.0,11:42,Broncos,Cody Latimer 10 yard pass from Brock Osweiler (Brandon McManus kick),17,9
6,4.0,0:24,Bears,Jeremy Langford 2 yard rush (run failed),17,15
