,Quarter,Tm,Detail,TAM,NYG
0,1.0,Giants,Howard Cross 18 yard pass from Phil Simms (David Treadwell kick),0,7
1,2.0,Giants,Rodney Hampton 2 yard rush (David Treadwell kick),0,14
2,2.0,Buccaneers,Tyji Armstrong 17 yard pass from Craig Erickson (Michael Husted kick),7,14
3,2.0,Giants,David Treadwell 33 yard field goal,7,17
4,3.0,Giants,David Treadwell 22 yard field goal,7,20
5,4.0,Giants,David Treadwell 46 yard field goal,7,23
