,Quarter,Time,Tm,Detail,ATL,TAM
0,1.0,,Buccaneers,Warren Sapp 5 yard interception return (Michael Husted kick),0,7
1,2.0,2:11,Falcons,Eric Metcalf 62 yard pass from Jeff George (Morten Andersen kick),7,7
2,2.0,2:11,Falcons,Bert Emanuel 32 yard pass from Jeff George (Morten Andersen kick),14,7
3,2.0,2:11,Buccaneers,Errict Rhett 1 yard rush (Michael Husted kick),14,14
4,3.0,2:11,Falcons,Bert Emanuel 30 yard pass from Jeff George (Morten Andersen kick),21,14
5,3.0,2:11,Buccaneers,Errict Rhett 2 yard rush (Michael Husted kick),21,21
6,4.0,2:11,Falcons,Morten Andersen 30 yard field goal,24,21
