,Quarter,Tm,Detail,NYJ,KAN
0,1.0,Chiefs,Carlos Carson 40 yard pass from Steve DeBerg (Nick Lowery kick),0,7
1,1.0,Chiefs,Stephone Paige 41 yard pass from Steve DeBerg (Nick Lowery kick),0,14
2,1.0,Jets,Mickey Shuler 42 yard pass from Pat Ryan (Pat Leahy kick),7,14
3,1.0,Jets,Pat Leahy 33 yard field goal,10,14
4,2.0,Chiefs,Stephone Paige 33 yard pass from Steve DeBerg (Nick Lowery kick),10,21
5,2.0,Jets,Al Toon 2 yard pass from Pat Ryan (Pat Leahy kick),17,21
6,2.0,Jets,Pat Leahy 32 yard field goal,20,21
7,3.0,Jets,Johnny Hector 6 yard rush (Pat Leahy kick),27,21
8,4.0,Chiefs,Nick Lowery 21 yard field goal,27,24
9,4.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),34,24
10,4.0,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),34,31
11,4.0,Chiefs,James Saxon 1 yard rush (Nick Lowery kick),34,38
