,Quarter,Time,Tm,Detail,SFO,WAS
0,3.0,5:32,49ers,Robbie Gould 28 yard field goal,3,0
1,4.0,9:06,49ers,Robbie Gould 22 yard field goal,6,0
2,4.0,0:27,49ers,Robbie Gould 29 yard field goal,9,0
