,Quarter,Tm,Detail,PHI,SFO
0,1.0,49ers,Tommy Davis 30 yard field goal,0,3
1,2.0,49ers,Ken Willard 11 yard pass from John Brodie (Tommy Davis kick),0,10
2,2.0,Eagles,Earl Gros 2 yard rush (Sam Baker kick),7,10
3,2.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),7,17
4,2.0,49ers,Tommy Davis 15 yard field goal,7,20
5,3.0,Eagles,Pete Retzlaff 15 yard pass from King Hill (Sam Baker kick),14,20
6,3.0,49ers,John David Crow 30 yard pass from John Brodie (Tommy Davis kick),14,27
7,3.0,Eagles,Pete Retzlaff 10 yard pass from King Hill (Sam Baker kick),21,27
8,3.0,49ers,Gary Lewis 2 yard rush (Tommy Davis kick),21,34
9,4.0,Eagles,Jim Nettles 34 yard interception return (Sam Baker kick),28,34
10,4.0,Eagles,Ollie Matson 4 yard pass from King Hill (Sam Baker kick),35,34
