,Quarter,Time,Tm,Detail,STL,DET
0,1.0,3:30,Rams,Az-Zahir Hakim 15 yard pass from Kurt Warner (Jeff Wilkins kick),7,0
1,2.0,13:31,Rams,Torry Holt 36 yard pass from Kurt Warner (Jeff Wilkins kick),14,0
2,2.0,3:04,Rams,Dre' Bly 93 yard interception return (Jeff Wilkins kick),21,0
3,4.0,10:14,Rams,Ernie Conwell 1 yard pass from Kurt Warner (Jeff Wilkins kick),28,0
4,4.0,4:32,Rams,Marshall Faulk 7 yard rush (Jeff Wilkins kick),35,0
