,Quarter,Time,Tm,Detail,IND,TEN
0,1.0,3:51,Colts,Marvin Harrison 68 yard pass from Peyton Manning (Adam Vinatieri kick),7,0
1,2.0,7:18,Colts,Dominic Rhodes 2 yard rush (Adam Vinatieri kick),14,0
2,2.0,1:49,Titans,Rob Bironas 25 yard field goal,14,3
3,2.0,0:11,Titans,Drew Bennett 20 yard pass from Vince Young (Rob Bironas kick),14,10
4,4.0,12:24,Titans,Brandon Jones 9 yard pass from Vince Young (Rob Bironas kick),14,17
5,4.0,2:38,Colts,Adam Vinatieri 20 yard field goal,17,17
6,4.0,0:07,Titans,Rob Bironas 60 yard field goal,17,20
