,Quarter,Time,Tm,Detail,NYG,DAL
0,1.0,5:02,Giants,Steve Christie 31 yard field goal,3,0
1,2.0,9:24,Cowboys,Keyshawn Johnson 7 yard pass from Vinny Testaverde (Billy Cundiff kick),3,7
2,2.0,1:56,Cowboys,Billy Cundiff 41 yard field goal,3,10
3,2.0,0:02,Giants,Steve Christie 51 yard field goal,6,10
4,3.0,4:58,Giants,Jeremy Shockey 1 yard pass from Kurt Warner (Steve Christie kick),13,10
5,4.0,12:02,Giants,Steve Christie 47 yard field goal,16,10
6,4.0,6:16,Giants,Steve Christie 26 yard field goal,19,10
7,4.0,2:14,Giants,Tiki Barber 3 yard rush (Steve Christie kick),26,10
