,Quarter,Tm,Detail,CHI,MIN
0,1.0,Vikings,Rick Danmeier 43 yard field goal,0,3
1,1.0,Bears,Brian Baschnagel 54 yard pass from Walter Payton (Bob Thomas kick),7,3
2,2.0,Bears,Walter Payton 2 yard pass from Bob Avellini (Bob Thomas kick),14,3
3,2.0,Vikings,Sammy White 55 yard pass from Tommy Kramer (Rick Danmeier kick),14,10
4,3.0,Vikings,Stu Voigt 3 yard pass from Tommy Kramer (Rick Danmeier kick),14,17
5,3.0,Bears,Bob Thomas 23 yard field goal,17,17
6,4.0,Bears,Bob Thomas 23 yard field goal,20,17
7,4.0,Bears,Walter Payton 2 yard rush (Bob Thomas kick),27,17
8,4.0,Vikings,Rickey Young 17 yard pass from Tommy Kramer,27,23
9,4.0,Vikings,Rickey Young 5 yard pass from Tommy Kramer (Rick Danmeier kick),27,30
