,Quarter,Time,Tm,Detail,LAC,OAK
0,1.0,5:04,Raiders,Michael Crabtree 23 yard pass from Derek Carr (Giorgio Tavecchio kick),0,7
1,2.0,1:44,Chargers,Melvin Gordon 1 yard rush (Nick Novak kick),7,7
2,2.0,0:00,Raiders,Giorgio Tavecchio 44 yard field goal,7,10
3,4.0,10:19,Chargers,Melvin Gordon 6 yard pass from Philip Rivers (Nick Novak kick),14,10
4,4.0,7:51,Raiders,Cordarrelle Patterson 47 yard rush (Giorgio Tavecchio kick failed),14,16
5,4.0,0:00,Chargers,Nick Novak 32 yard field goal,17,16
