,Quarter,Tm,Detail,PIT,GNB
0,1.0,Steelers,Franco Harris 3 yard rush (Gary Anderson kick),7,0
1,1.0,Packers,James Lofton 71 yard pass from Lynn Dickey (Jan Stenerud kick),7,7
2,2.0,Steelers,Cliff Stoudt 1 yard rush,13,7
3,2.0,Packers,James Lofton 73 yard pass from Lynn Dickey (Jan Stenerud kick),13,14
4,3.0,Steelers,Gary Anderson 30 yard field goal,16,14
5,4.0,Steelers,Frank Pollard 1 yard rush (Gary Anderson kick),23,14
6,4.0,Packers,James Lofton 12 yard pass from Lynn Dickey (Jan Stenerud kick),23,21
7,4.0,Steelers,"Safety, Kohrs tackled Dickey in end zone",25,21
