,Quarter,Tm,Detail,OAK,PIT
0,2.0,Steelers,Roy Gerela 36 yard field goal,0,3
1,4.0,Steelers,Franco Harris 25 yard rush (Roy Gerela kick),0,10
2,4.0,Raiders,Mike Siani 14 yard pass from Ken Stabler (George Blanda kick),7,10
3,4.0,Steelers,John Stallworth 20 yard pass from Terry Bradshaw,7,16
4,4.0,Raiders,George Blanda 41 yard field goal,10,16
